Sim ID,Sample,Agent ID,Strategy,Wins,Losses,Pushes,Total Profit,Avg Profit/Round,Final Bankroll
77,2000,232,unskilled,847,1005,181,-3210.00,-1.60,6790.00
77,2000,233,basic,914,981,156,855.00,0.43,10855.00
77,2000,234,counting,908,966,166,990.00,0.49,10990.00
78,2000,235,unskilled,837,959,229,-2370.00,-1.19,7630.00
78,2000,236,basic,885,983,177,-720.00,-0.36,9280.00
78,2000,237,counting,877,980,187,-1110.00,-0.56,8890.00
79,2000,238,unskilled,801,1000,219,-4605.00,-2.30,5395.00
79,2000,239,basic,862,1002,179,-1725.00,-0.86,8275.00
79,2000,240,counting,880,1026,147,-6210.00,-3.10,3790.00
80,2000,241,unskilled,805,1013,209,-5070.00,-2.54,4930.00
80,2000,242,basic,875,1001,182,-2115.00,-1.06,7885.00
80,2000,243,counting,896,996,177,30.00,0.01,10030.00
81,2000,244,unskilled,857,973,194,-2010.00,-1.00,7990.00
81,2000,245,basic,843,1017,183,-3270.00,-1.64,6730.00
81,2000,246,counting,942,946,163,8640.00,4.32,18640.00
82,2000,247,unskilled,807,1018,197,-4995.00,-2.50,5005.00
82,2000,248,basic,865,1024,183,-2115.00,-1.06,7885.00
82,2000,249,counting,853,1028,171,-4290.00,-2.15,5710.00
83,2000,250,unskilled,825,1020,185,-4170.00,-2.08,5830.00
83,2000,251,basic,908,988,163,1230.00,0.61,11230.00
83,2000,252,counting,908,971,169,6840.00,3.42,16840.00
84,2000,253,unskilled,873,976,179,-1350.00,-0.68,8650.00
84,2000,254,basic,877,1011,178,-2235.00,-1.12,7765.00
84,2000,255,counting,886,1002,155,-5115.00,-2.56,4885.00
85,2000,256,unskilled,840,967,215,-2535.00,-1.27,7465.00
85,2000,257,basic,933,948,166,2700.00,1.35,12700.00
85,2000,258,counting,955,937,160,12540.00,6.27,22540.00
86,2000,259,unskilled,868,954,197,-1440.00,-0.72,8560.00
86,2000,260,basic,929,963,171,1200.00,0.60,11200.00
86,2000,261,counting,893,967,189,3600.00,1.80,13600.00
87,2000,262,unskilled,866,954,212,-1215.00,-0.61,8785.00
87,2000,263,basic,930,958,180,2670.00,1.33,12670.00
87,2000,264,counting,893,992,178,1515.00,0.76,11515.00
88,2000,265,unskilled,804,1008,210,-4560.00,-2.28,5440.00
88,2000,266,basic,898,968,182,375.00,0.19,10375.00
88,2000,267,counting,883,978,190,1095.00,0.55,11095.00
89,2000,268,unskilled,850,988,192,-2835.00,-1.42,7165.00
89,2000,269,basic,855,1009,183,-1770.00,-0.89,8230.00
89,2000,270,counting,865,992,183,-4680.00,-2.34,5320.00
90,2000,271,unskilled,854,991,183,-2775.00,-1.39,7225.00
90,2000,272,basic,912,971,175,330.00,0.17,10330.00
90,2000,273,counting,905,977,172,-2310.00,-1.16,7690.00
91,2000,274,unskilled,853,979,189,-2025.00,-1.01,7975.00
91,2000,275,basic,903,972,179,855.00,0.43,10855.00
91,2000,276,counting,884,991,171,120.00,0.06,10120.00
92,2000,277,unskilled,821,998,207,-3765.00,-1.88,6235.00
92,2000,278,basic,873,998,173,-750.00,-0.38,9250.00
92,2000,279,counting,875,994,190,-585.00,-0.29,9415.00
93,2000,280,unskilled,803,1037,177,-5790.00,-2.90,4210.00
93,2000,281,basic,873,975,199,-345.00,-0.17,9655.00
93,2000,282,counting,894,970,188,4500.00,2.25,14500.00
94,2000,283,unskilled,899,939,190,525.00,0.26,10525.00
94,2000,284,basic,923,989,152,270.00,0.14,10270.00
94,2000,285,counting,932,951,179,4185.00,2.09,14185.00
95,2000,286,unskilled,829,985,225,-3285.00,-1.64,6715.00
95,2000,287,basic,879,982,173,-1140.00,-0.57,8860.00
95,2000,288,counting,884,1018,146,-1755.00,-0.88,8245.00
96,2000,289,unskilled,847,972,210,-2145.00,-1.07,7855.00
96,2000,290,basic,916,985,154,615.00,0.31,10615.00
96,2000,291,counting,890,984,181,-2565.00,-1.28,7435.00
97,2000,292,unskilled,865,964,209,-1380.00,-0.69,8620.00
97,2000,293,basic,894,982,174,375.00,0.19,10375.00
97,2000,294,counting,903,1001,149,-5820.00,-2.91,4180.00
98,2000,295,unskilled,838,977,210,-2850.00,-1.43,7150.00
98,2000,296,basic,912,971,173,870.00,0.43,10870.00
98,2000,297,counting,900,1001,165,4455.00,2.23,14455.00
99,2000,298,unskilled,847,991,178,-2955.00,-1.48,7045.00
99,2000,299,basic,883,989,188,-135.00,-0.07,9865.00
99,2000,300,counting,905,983,166,-3750.00,-1.88,6250.00
100,2000,301,unskilled,830,983,205,-3255.00,-1.63,6745.00
100,2000,302,basic,860,1006,182,-1740.00,-0.87,8260.00
100,2000,303,counting,908,957,181,6930.00,3.46,16930.00
101,2000,304,unskilled,812,996,217,-4125.00,-2.06,5875.00
101,2000,305,basic,858,1019,182,-1935.00,-0.97,8065.00
101,2000,306,counting,881,1011,155,7665.00,3.83,17665.00
102,2000,307,unskilled,806,999,209,-4515.00,-2.26,5485.00
102,2000,308,basic,876,1015,163,-1125.00,-0.56,8875.00
102,2000,309,counting,890,997,168,5085.00,2.54,15085.00
103,2000,310,unskilled,830,1007,187,-3870.00,-1.94,6130.00
103,2000,311,basic,901,963,180,1350.00,0.68,11350.00
103,2000,312,counting,880,980,182,2280.00,1.14,12280.00
104,2000,313,unskilled,802,1030,204,-5145.00,-2.57,4855.00
104,2000,314,basic,871,997,181,-1140.00,-0.57,8860.00
104,2000,315,counting,913,971,178,4470.00,2.23,14470.00
105,2000,316,unskilled,819,962,240,-2880.00,-1.44,7120.00
105,2000,317,basic,888,987,180,-525.00,-0.26,9475.00
105,2000,318,counting,882,1008,171,-1260.00,-0.63,8740.00
106,2000,319,unskilled,823,1015,185,-4425.00,-2.21,5575.00
106,2000,320,basic,900,960,206,105.00,0.05,10105.00
106,2000,321,counting,901,1015,146,-1950.00,-0.97,8050.00
107,2000,322,unskilled,801,1038,182,-5790.00,-2.90,4210.00
107,2000,323,basic,837,1034,178,-3990.00,-2.00,6010.00
107,2000,324,counting,853,1021,168,-7755.00,-3.88,2245.00
108,2000,325,unskilled,846,962,224,-1995.00,-1.00,8005.00
108,2000,326,basic,856,990,186,-2250.00,-1.12,7750.00
108,2000,327,counting,941,935,182,8760.00,4.38,18760.00
109,2000,328,unskilled,827,1013,188,-4035.00,-2.02,5965.00
109,2000,329,basic,901,943,218,2130.00,1.06,12130.00
109,2000,330,counting,946,942,173,5700.00,2.85,15700.00
110,2000,331,unskilled,831,995,209,-3495.00,-1.75,6505.00
110,2000,332,basic,882,990,164,-720.00,-0.36,9280.00
110,2000,333,counting,927,966,159,5505.00,2.75,15505.00
111,2000,334,unskilled,864,968,199,-1575.00,-0.79,8425.00
111,2000,335,basic,921,948,191,1485.00,0.74,11485.00
111,2000,336,counting,935,965,151,4530.00,2.27,14530.00
112,2000,337,unskilled,855,976,198,-2085.00,-1.04,7915.00
112,2000,338,basic,900,954,187,1230.00,0.61,11230.00
112,2000,339,counting,938,983,159,2175.00,1.09,12175.00
113,2000,340,unskilled,854,975,193,-1815.00,-0.91,8185.00
113,2000,341,basic,848,1007,191,-2085.00,-1.04,7915.00
113,2000,342,counting,884,987,170,2220.00,1.11,12220.00
114,2000,343,unskilled,876,993,159,-1950.00,-0.97,8050.00
114,2000,344,basic,911,976,166,60.00,0.03,10060.00
114,2000,345,counting,904,971,171,7170.00,3.58,17170.00
115,2000,346,unskilled,854,970,198,-2175.00,-1.09,7825.00
115,2000,347,basic,908,961,170,1095.00,0.55,11095.00
115,2000,348,counting,890,981,178,-1710.00,-0.85,8290.00
116,2000,349,unskilled,846,964,210,-2130.00,-1.06,7870.00
116,2000,350,basic,878,994,184,-735.00,-0.37,9265.00
116,2000,351,counting,863,1029,157,-5490.00,-2.75,4510.00
117,2000,352,unskilled,849,975,207,-2370.00,-1.19,7630.00
117,2000,353,basic,887,1000,169,-1575.00,-0.79,8425.00
117,2000,354,counting,867,985,202,-2145.00,-1.07,7855.00
